Data set,Top 500 Topic Clusters by Scholarly Output
Entity,"World"
Year range,2013 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,8 March 2019
Date exported,8 April 2019


Topic Cluster,Topic Cluster Number,Scholarly Output,Field-Weighted Citation Impact,Prominence percentile
"Brazil; Health; Nursing",TC.390,12256,0.42,41.299
"Location; Algorithms; Wi-Fi",TC.643,12233,1.39,70.683
"Renal Cell Carcinoma; Nephrectomy; Neoplasms",TC.341,12128,0.89,70.147
"Broiler Chickens; Laying Hens; Swine",TC.202,12123,0.86,71.151
"Pesticides; Pesticide Residues; Solid Phase Extraction",TC.404,12035,1.11,92.169
"Fatigue Of Materials; Fatigue Testing; Fatigue Crack Propagation",TC.344,11957,0.72,64.993
"Knowledge Management; Industry; Research",TC.325,11899,0.91,67.47
"Carbon Capture; Shale; Storage (Materials)",TC.635,11857,1.12,80.254
"Women; Cesarean Section; Parturition",TC.397,11854,0.93,67.202
"Additives; Manufacture; Printing",TC.609,11830,1.7,91.767
"Cytomegalovirus; Cytomegalovirus Infections; Herpes Zoster",TC.225,11810,0.88,72.557
"Image Coding; Video Signal Processing; Image Compression",TC.250,11782,0.73,50.602
"Aquifers; Groundwater Resources; Groundwater Flow",TC.282,11729,0.95,80.187
"Court; Law; Supreme Court",TC.234,11728,0.86,34.672
